lemma,derivation,lemma_raw,lemma_betacode,lemma_betacode_raw,derivation_raw,derivation_betacode,prefix,prefix_betacode,query_lemmas
ὑποτοπασμός,"ὑπό, τόπος",ὑποτοπασμός,u(potopasmo/s,upotopasmos,"['ὑπό', 'τόπος']","['upo', 'topos']",['ὑπό'],['upo'],υποτοπασμος / upotopasmos
ἐνδεῶς,,ἐνδεῶς,e)ndew=s,endews,[],[],[],[],ενδεως / endews
συνανακινέω,"σύν, ἀνά, κινέω",συνανακινέω,sunanakine/w,sunanakinew,"['σύν', 'ἀνά', 'κινέω']","['sun', 'ana', 'kinew']","['σύν', 'ἀνά']","['sun', 'ana']",συνανακινεω / sunanakinew
κρεμάθρα,κρεμάννυμι,κρεμάθρα,krema/qra,kremaqra,['κρεμάννυμι'],['kremannumi'],[],[],κρεμαθρα / kremaqra
ἀφάρμακος,φάρμακον,ἀφάρμακος,a)fa/rmakos,afarmakos,['φάρμακον'],['farmakon'],[],[],αφαρμακος / afarmakos
φέναξ,φαίνω,φέναξ,fe/nac,fenac,['φαίνω'],['fainw'],[],[],φεναξ / fenac
ἄθυρμα,ἀθύρω,ἄθυρμα,a)/qurma,aqurma,['ἀθύρω'],['aqurw'],[],[],αθυρμα / aqurma
Μουσίκιος,,Μουσίκιος,*Mousi/kios,Mousikios,[],[],[],[],Μουσικιος / Mousikios
γραμμοειδῶς,,γραμμοειδῶς,grammoeidw=s,grammoeidws,[],[],[],[],γραμμοειδως / grammoeidws
ὑπερορέγομαι,"ὑπέρ, ὀρέγω",ὑπερορέγομαι,u(perore/gomai,uperoregomai,"['ὑπέρ', 'ὀρέγω']","['uper', 'oregw']",['ὑπέρ'],['uper'],υπερορεγομαι / uperoregomai
Ἰτέα,,Ἰτέα,*)Ite/a,Itea,[],[],[],[],Ιτεα / Itea
αἶρα,,αἶρα,ai)=ra,aira,[],[],[],[],αιρα / aira
Διογενιανός,,Διογενιανός,*Diogeniano/s,Diogenianos,[],[],[],[],Διογενιανος / Diogenianos
συνερῶ,,συνερῶ,sunerw=,sunerw,[],[],[],[],συνερω / sunerw
πρόχοος,"πρό, χέω",πρόχοος,pro/xoos,proxoos,"['πρό', 'χέω']","['pro', 'xew']",['πρό'],['pro'],προχοος / proxoos
Μνήσαρχος,,Μνήσαρχος,*Mnh/sarxos,Mnhsarxos,[],[],[],[],Μνησαρχος / Mnhsarxos
Μελαμποδίδαι,Μελάμπους,Μελαμποδίδαι,*Melampodi/dai,Melampodidai,['Μελάμπους'],['Melampous'],[],[],Μελαμποδιδαι / Melampodidai
ἀνέκφευκτος,"ἐκ, φεύγω",ἀνέκφευκτος,a)ne/kfeuktos,anekfeuktos,"['ἐκ', 'φεύγω']","['ek', 'feugw']",['ἐκ'],['ek'],ανεκφευκτος / anekfeuktos
παρήκοος,"παρά, ἀκούω",παρήκοος,parh/koos,parhkoos,"['παρά', 'ἀκούω']","['para', 'akouw']",['παρά'],['para'],παρηκοος / parhkoos
κεντώνιον,κεντώνη,κεντώνιον,kentw/nion,kentwnion,['κεντώνη'],['kentwnh'],[],[],κεντωνιον / kentwnion
σκινθαρίζω,,σκινθαρίζω,skinqari/zw,skinqarizw,[],[],[],[],σκινθαριζω / skinqarizw
Θυμαιτάδης,Θυμαιτάδαι,Θυμαιτάδης,*Qumaita/dhs,Qumaitadhs,['Θυμαιτάδαι'],['Qumaitadai'],[],[],Θυμαιταδης / Qumaitadhs
γαυλικός,γαῦλος,γαυλικός,gauliko/s,gaulikos,['γαῦλος'],['gaulos'],[],[],γαυλικος / gaulikos
